"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005319","lipid transporter activity","15/410","135/22710",2.34421005552628e-08,1.49326180537024e-05,1.28067896717699e-05,"27409/170459/71764/76574/67470/14079/26365/207798/66494/11305/76303/20493/217258/320091/20494",15
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","15/410","203/22710",4.61927284675229e-06,0.00122697359853999,0.00105229992174214,"102294/666168/13077/56473/277753/13121/244209/13120/83702/319660/66234/18984/56050/76267/13097",15
"GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","8/410","56/22710",7.01874878137092e-06,0.00122697359853999,0.00105229992174214,"14104/73166/13360/19044/67442/74754/233016/68002",8
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","12/410","140/22710",9.30824479804824e-06,0.00122697359853999,0.00105229992174214,"14104/114664/74147/17252/18194/110208/277753/216454/83702/28200/11529/27400",12
"GO:0005506","iron ion binding","13/410","166/22710",1.06534543298576e-05,0.00122697359853999,0.00105229992174214,"102294/13077/277753/13121/244209/13120/319660/20135/66234/56050/107766/23959/13097",13
"GO:0004497","monooxygenase activity","12/410","143/22710",1.1557051163642e-05,0.00122697359853999,0.00105229992174214,"102294/666168/13077/277753/13121/244209/13120/83702/319660/66234/56050/13097",12
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","12/410","149/22710",1.75174080570957e-05,0.00159408413319571,0.00136714808746356,"14104/114664/74147/17252/18194/110208/277753/216454/83702/28200/11529/27400",12
"GO:0019842","vitamin binding","11/410","132/22710",2.8477742352823e-05,0.00175909187044583,0.00150866509255786,"107476/14104/13195/79235/100705/246277/100039707/70266/11529/23923/14711",11
"GO:0061135","endopeptidase regulator activity","14/410","209/22710",2.88387530848063e-05,0.00175909187044583,0.00150866509255786,"331535/20717/385643/68054/20708/217847/66222/16426/14456/74048/11820/100038854/69550/18816",14
"GO:0120015","intermembrane sterol transfer activity","5/410","21/22710",3.00044699904072e-05,0.00175909187044583,0.00150866509255786,"27409/170459/67470/207798/76303",5
"GO:0016830","carbon-carbon lyase activity","7/410","50/22710",3.03767826921572e-05,0.00175909187044583,0.00150866509255786,"13195/22247/230163/246277/11676/52665/71776",7
"GO:0061134","peptidase regulator activity","15/410","244/22710",4.09182436235488e-05,0.00217207676568338,0.0018628568807563,"331535/20717/385643/68054/20708/13032/217847/66222/16426/14456/74048/11820/100038854/69550/18816",15
"GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","5/410","24/22710",5.9937102986811e-05,0.00293691804635374,0.00251881428746193,"14104/73166/13360/74754/233016",5
"GO:0004866","endopeptidase inhibitor activity","13/410","201/22710",7.91744618304194e-05,0.00360243801328408,0.00308958990150283,"331535/20717/385643/68054/20708/217847/66222/16426/14456/11820/100038854/69550/18816",13
"GO:0030414","peptidase inhibitor activity","13/410","212/22710",0.000135288566535606,0.00552691897164922,0.00474009906020977,"331535/20717/385643/68054/20708/217847/66222/16426/14456/11820/100038854/69550/18816",13
"GO:0038024","cargo receptor activity","8/410","84/22710",0.000138823710433889,0.00552691897164922,0.00474009906020977,"54135/17167/16835/14289/18606/96875/16414/11889",8
"GO:0120013","intermembrane lipid transfer activity","5/410","29/22710",0.000155481227244853,0.00582597304441006,0.00499657937709464,"27409/170459/67470/207798/76303",5
"GO:0015248","sterol transporter activity","5/410","31/22710",0.000215958883434942,0.00764254493044769,0.00655454154986755,"27409/170459/67470/207798/76303",5
"GO:0004857","enzyme inhibitor activity","18/410","384/22710",0.00023848290946612,0.00799545333315362,0.00685720941899814,"331535/20717/80285/385643/68054/20708/217847/17931/66222/16426/14456/231103/11820/100038854/68034/211770/69550/18816",18
"GO:0004867","serine-type endopeptidase inhibitor activity","9/410","118/22710",0.000295054599935717,0.00939748900795257,0.00805964933508615,"331535/20717/68054/20708/217847/66222/16426/11820/18816",9
"GO:0017127","cholesterol transporter activity","4/410","20/22710",0.000403294377383331,0.0116772053815083,0.0100148220986578,"27409/170459/67470/207798",4
"GO:0120020","intermembrane cholesterol transfer activity","4/410","20/22710",0.000403294377383331,0.0116772053815083,0.0100148220986578,"27409/170459/67470/207798",4
"GO:0033218","amide binding","17/410","371/22710",0.000456889233682824,0.0126538452980852,0.0108524261913678,"107476/14104/13167/16323/68312/17380/71764/17167/100705/100039707/74754/16835/13809/14854/14289/14711/16414",17
"GO:0072341","modified amino acid binding","8/410","101/22710",0.000493496246372913,0.012917284408042,0.0110783617413431,"14104/68312/17380/100039707/171283/14854/14456/14711",8
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","5/410","37/22710",0.000506957786814835,0.012917284408042,0.0110783617413431,"114664/18194/216454/83702/27400",5
"GO:0016829","lyase activity","11/410","184/22710",0.000540954323365495,0.0132533809224546,0.0113666110861009,"14104/225913/74147/13195/22247/230163/246277/11676/52665/70266/71776",11
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","6/410","58/22710",0.000611653896376662,0.0144305011848864,0.0123761548623582,"17252/53415/68263/83702/28200/11529",6
"GO:1901681","sulfur compound binding","13/410","250/22710",0.000662300195961824,0.0150673294581315,0.0129223233723379,"107476/13167/68312/55985/100705/16409/18553/14854/14186/217847/434121/14711/11820",13
"GO:0022804","active transmembrane transporter activity","16/410","355/22710",0.000793947714962611,0.0171471790186548,0.0147060826417944,"26357/27409/11732/14385/76574/319848/20522/67470/76257/11305/20493/216441/217258/76408/18400/20494",16
"GO:0050662","coenzyme binding","14/410","288/22710",0.000807559451428014,0.0171471790186548,0.0147060826417944,"107476/14104/13167/13195/110208/100705/53415/246277/74754/70266/11529/23923/14711/18984",14
